title,abstract,authors,link,source,cleaned_abstract
Rational Neural Network Controllers,"Neural networks have shown great success in many machine learning related tasks, due to their ability to act as general function approximators. Recent work has demonstrated the effectiveness of neural networks in control systems (known as neural feedback loops), most notably by using a neural network as a controller. However, one of the big challenges of this approach is that neural networks have been shown to be sensitive to adversarial attacks. This means that, unless they are designed properly, they are not an ideal candidate for controllers due to issues with robustness and uncertainty, which are pivotal aspects of control systems. There has been initial work on robustness to both analyse and design dynamical systems with neural network controllers. However, one prominent issue with these methods is that they use existing neural network architectures tailored for traditional machine learning tasks. These structures may not be appropriate for neural network controllers and it is important to consider alternative architectures. This paper considers rational neural networks and presents novel rational activation functions, which can be used effectively in robustness problems for neural feedback loops. Rational activation functions are replaced by a general rational neural network structure, which is convex in the neural network's parameters. A method is proposed to recover a stabilising controller from a Sum of Squares feasibility test. This approach is then applied to a refined rational neural network which is more compatible with Sum of Squares programming. Numerical examples show that this method can successfully recover stabilising rational neural network controllers for neural feedback loops with non-linear plants with noise and parametric uncertainty.","Matthew Newton, Antonis Papachristodoulou",http://arxiv.org/abs/2307.06287v1,arXiv,neural network have show great success in many machine learn related task due to their ability to act a general function approximators recent work have demonstrate the effectiveness of neural network in control system know a neural feedback loop most notably by use a neural network a a controller however one of the big challenge of this approach be that neural network have be show to be sensitive to adversarial attack this mean that unless they be design properly they be not an ideal candidate for controller due to issue with robustness and uncertainty which be pivotal aspect of control system there have be initial work on robustness to both analyse and design dynamical system with neural network controller however one prominent issue with these method be that they use exist neural network architecture tailor for traditional machine learn task these structure may not be appropriate for neural network controller and it be important to consider alternative architecture this paper considers rational neural network and present novel rational activation function which can be use effectively in robustness problem for neural feedback loop rational activation function be replace by a general rational neural network structure which be convex in the neural network s parameter a method be propose to recover a stabilise controller from a sum of square feasibility test this approach be then apply to a refine rational neural network which be more compatible with sum of square program numerical example show that this method can successfully recover stabilise rational neural network controller for neural feedback loop with non-linear plant with noise and parametric uncertainty
Asymptotic Theory of Expectile Neural Networks,"Neural networks are becoming an increasingly important tool in applications. However, neural networks are not widely used in statistical genetics. In this paper, we propose a new neural networks method called expectile neural networks. When the size of parameter is too large, the standard maximum likelihood procedures may not work. We use sieve method to constrain parameter space. And we prove its consistency and normality under nonparametric regression framework.","Jinghang Lin, Xiaoxi Shen, Qing Lu",http://arxiv.org/abs/2011.01218v1,arXiv,neural network be become an increasingly important tool in application however neural network be not widely use in statistical genetics in this paper we propose a new neural network method call expectile neural network when the size of parameter be too large the standard maximum likelihood procedure may not work we use sieve method to constrain parameter space and we prove it consistency and normality under nonparametric regression framework
"Combining Recurrent and Convolutional Neural Networks for Relation
  Classification","This paper investigates two different neural architectures for the task of relation classification: convolutional neural networks and recurrent neural networks. For both models, we demonstrate the effect of different architectural choices. We present a new context representation for convolutional neural networks for relation classification (extended middle context). Furthermore, we propose connectionist bi-directional recurrent neural networks and introduce ranking loss for their optimization. Finally, we show that combining convolutional and recurrent neural networks using a simple voting scheme is accurate enough to improve results. Our neural models achieve state-of-the-art results on the SemEval 2010 relation classification task.","Ngoc Thang Vu, Heike Adel, Pankaj Gupta, Hinrich Schütze",http://arxiv.org/abs/1605.07333v1,arXiv,this paper investigates two different neural architecture for the task of relation classification convolutional neural network and recurrent neural network for both model we demonstrate the effect of different architectural choice we present a new context representation for convolutional neural network for relation classification extend middle context furthermore we propose connectionist bi-directional recurrent neural network and introduce rank loss for their optimization finally we show that combine convolutional and recurrent neural network use a simple voting scheme be accurate enough to improve result our neural model achieve state-of-the-art result on the semeval 2010 relation classification task
"A Comprehensive Review of Spiking Neural Networks: Interpretation,
  Optimization, Efficiency, and Best Practices","Biological neural networks continue to inspire breakthroughs in neural network performance. And yet, one key area of neural computation that has been under-appreciated and under-investigated is biologically plausible, energy-efficient spiking neural networks, whose potential is especially attractive for low-power, mobile, or otherwise hardware-constrained settings. We present a literature review of recent developments in the interpretation, optimization, efficiency, and accuracy of spiking neural networks. Key contributions include identification, discussion, and comparison of cutting-edge methods in spiking neural network optimization, energy-efficiency, and evaluation, starting from first principles so as to be accessible to new practitioners.","Kai Malcolm, Josue Casco-Rodriguez",http://arxiv.org/abs/2303.10780v2,arXiv,biological neural network continue to inspire breakthrough in neural network performance and yet one key area of neural computation that have be under-appreciated and under-investigated be biologically plausible energy-efficient spike neural network whose potential be especially attractive for low-power mobile or otherwise hardware-constrained setting we present a literature review of recent development in the interpretation optimization efficiency and accuracy of spike neural network key contribution include identification discussion and comparison of cutting-edge method in spike neural network optimization energy-efficiency and evaluation start from first principle so a to be accessible to new practitioner
"Design and development of opto-neural processors for simulation of
  neural networks trained in image detection for potential implementation in
  hybrid robotics","Neural networks have been employed for a wide range of processing applications like image processing, motor control, object detection and many others. Living neural networks offer advantages of lower power consumption, faster processing, and biological realism. Optogenetics offers high spatial and temporal control over biological neurons and presents potential in training live neural networks. This work proposes a simulated living neural network trained indirectly by backpropagating STDP based algorithms using precision activation by optogenetics achieving accuracy comparable to traditional neural network training algorithms.",Sanjana Shetty,http://arxiv.org/abs/2401.10289v1,arXiv,neural network have be employ for a wide range of processing application like image processing motor control object detection and many others living neural network offer advantage of low power consumption faster processing and biological realism optogenetics offer high spatial and temporal control over biological neuron and present potential in training live neural network this work proposes a simulated living neural network train indirectly by backpropagating stdp base algorithm use precision activation by optogenetics achieve accuracy comparable to traditional neural network training algorithm
Convex Formulation of Overparameterized Deep Neural Networks,"Analysis of over-parameterized neural networks has drawn significant attention in recentyears. It was shown that such systems behave like convex systems under various restrictedsettings, such as for two-level neural networks, and when learning is only restricted locally inthe so-called neural tangent kernel space around specialized initializations. However, there areno theoretical techniques that can analyze fully trained deep neural networks encountered inpractice. This paper solves this fundamental problem by investigating such overparameterizeddeep neural networks when fully trained. We generalize a new technique called neural feature repopulation, originally introduced in (Fang et al., 2019a) for two-level neural networks, to analyze deep neural networks. It is shown that under suitable representations, overparameterized deep neural networks are inherently convex, and when optimized, the system can learn effective features suitable for the underlying learning task under mild conditions. This new analysis is consistent with empirical observations that deep neural networks are capable of learning efficient feature representations. Therefore, the highly unexpected result of this paper can satisfactorily explain the practical success of deep neural networks. Empirical studies confirm that predictions of our theory are consistent with results observed in practice.","Cong Fang, Yihong Gu, Weizhong Zhang, Tong Zhang",http://arxiv.org/abs/1911.07626v1,arXiv,analysis of over-parameterized neural network have drawn significant attention in recentyears it be show that such system behave like convex system under various restrictedsettings such a for two-level neural network and when learn be only restrict locally inthe so-called neural tangent kernel space around specialized initialization however there areno theoretical technique that can analyze fully train deep neural network encounter inpractice this paper solves this fundamental problem by investigate such overparameterizeddeep neural network when fully train we generalize a new technique call neural feature repopulation originally introduce in fang et al 2019a for two-level neural network to analyze deep neural network it be show that under suitable representation overparameterized deep neural network be inherently convex and when optimize the system can learn effective feature suitable for the underlie learn task under mild condition this new analysis be consistent with empirical observation that deep neural network be capable of learn efficient feature representation therefore the highly unexpected result of this paper can satisfactorily explain the practical success of deep neural network empirical study confirm that prediction of our theory be consistent with result observe in practice
"Approximate Bisimulation Relations for Neural Networks and Application
  to Assured Neural Network Compression","In this paper, we propose a concept of approximate bisimulation relation for feedforward neural networks. In the framework of approximate bisimulation relation, a novel neural network merging method is developed to compute the approximate bisimulation error between two neural networks based on reachability analysis of neural networks. The developed method is able to quantitatively measure the distance between the outputs of two neural networks with the same inputs. Then, we apply the approximate bisimulation relation results to perform neural networks model reduction and compute the compression precision, i.e., assured neural networks compression. At last, using the assured neural network compression, we accelerate the verification processes of ACAS Xu neural networks to illustrate the effectiveness and advantages of our proposed approximate bisimulation approach.","Weiming Xiang, Zhongzhu Shao",http://arxiv.org/abs/2202.01214v1,arXiv,in this paper we propose a concept of approximate bisimulation relation for feedforward neural network in the framework of approximate bisimulation relation a novel neural network merge method be developed to compute the approximate bisimulation error between two neural network base on reachability analysis of neural network the developed method be able to quantitatively measure the distance between the output of two neural network with the same input then we apply the approximate bisimulation relation result to perform neural network model reduction and compute the compression precision i e assure neural network compression at last use the assure neural network compression we accelerate the verification process of acas xu neural network to illustrate the effectiveness and advantage of our propose approximate bisimulation approach
"Optimal rates of approximation by shallow ReLU$^k$ neural networks and
  applications to nonparametric regression","We study the approximation capacity of some variation spaces corresponding to shallow ReLU$^k$ neural networks. It is shown that sufficiently smooth functions are contained in these spaces with finite variation norms. For functions with less smoothness, the approximation rates in terms of the variation norm are established. Using these results, we are able to prove the optimal approximation rates in terms of the number of neurons for shallow ReLU$^k$ neural networks. It is also shown how these results can be used to derive approximation bounds for deep neural networks and convolutional neural networks (CNNs). As applications, we study convergence rates for nonparametric regression using three ReLU neural network models: shallow neural network, over-parameterized neural network, and CNN. In particular, we show that shallow neural networks can achieve the minimax optimal rates for learning H\""older functions, which complements recent results for deep neural networks. It is also proven that over-parameterized (deep or shallow) neural networks can achieve nearly optimal rates for nonparametric regression.","Yunfei Yang, Ding-Xuan Zhou",http://arxiv.org/abs/2304.01561v3,arXiv,we study the approximation capacity of some variation space correspond to shallow relu neural network it be show that sufficiently smooth function be contain in these space with finite variation norm for function with less smoothness the approximation rate in term of the variation norm be establish use these result we be able to prove the optimal approximation rate in term of the number of neuron for shallow relu neural network it be also show how these result can be use to derive approximation bound for deep neural network and convolutional neural network cnns a application we study convergence rate for nonparametric regression use three relu neural network model shallow neural network over-parameterized neural network and cnn in particular we show that shallow neural network can achieve the minimax optimal rate for learn h old function which complement recent result for deep neural network it be also proven that over-parameterized deep or shallow neural network can achieve nearly optimal rate for nonparametric regression
"Understanding Vector-Valued Neural Networks and Their Relationship with
  Real and Hypercomplex-Valued Neural Networks","Despite the many successful applications of deep learning models for multidimensional signal and image processing, most traditional neural networks process data represented by (multidimensional) arrays of real numbers. The intercorrelation between feature channels is usually expected to be learned from the training data, requiring numerous parameters and careful training. In contrast, vector-valued neural networks are conceived to process arrays of vectors and naturally consider the intercorrelation between feature channels. Consequently, they usually have fewer parameters and often undergo more robust training than traditional neural networks. This paper aims to present a broad framework for vector-valued neural networks, referred to as V-nets. In this context, hypercomplex-valued neural networks are regarded as vector-valued models with additional algebraic properties. Furthermore, this paper explains the relationship between vector-valued and traditional neural networks. Precisely, a vector-valued neural network can be obtained by placing restrictions on a real-valued model to consider the intercorrelation between feature channels. Finally, we show how V-nets, including hypercomplex-valued neural networks, can be implemented in current deep-learning libraries as real-valued networks.",Marcos Eduardo Valle,http://arxiv.org/abs/2309.07716v2,arXiv,despite the many successful application of deep learn model for multidimensional signal and image processing most traditional neural network process data represent by multidimensional array of real number the intercorrelation between feature channel be usually expect to be learn from the training data require numerous parameter and careful training in contrast vector-valued neural network be conceive to process array of vector and naturally consider the intercorrelation between feature channel consequently they usually have few parameter and often undergo more robust training than traditional neural network this paper aim to present a broad framework for vector-valued neural network refer to a v-nets in this context hypercomplex-valued neural network be regard a vector-valued model with additional algebraic property furthermore this paper explains the relationship between vector-valued and traditional neural network precisely a vector-valued neural network can be obtain by place restriction on a real-valued model to consider the intercorrelation between feature channel finally we show how v-nets include hypercomplex-valued neural network can be implement in current deep-learning library a real-valued network
One weird trick for parallelizing convolutional neural networks,I present a new way to parallelize the training of convolutional neural networks across multiple GPUs. The method scales significantly better than all alternatives when applied to modern convolutional neural networks.,Alex Krizhevsky,http://arxiv.org/abs/1404.5997v2,arXiv,i present a new way to parallelize the training of convolutional neural network across multiple gpus the method scale significantly well than all alternative when apply to modern convolutional neural network
Geometric Decomposition of Feed Forward Neural Networks,"There have been several attempts to mathematically understand neural networks and many more from biological and computational perspectives. The field has exploded in the last decade, yet neural networks are still treated much like a black box. In this work we describe a structure that is inherent to a feed forward neural network. This will provide a framework for future work on neural networks to improve training algorithms, compute the homology of the network, and other applications. Our approach takes a more geometric point of view and is unlike other attempts to mathematically understand neural networks that rely on a functional perspective.",Sven Cattell,http://arxiv.org/abs/1612.02522v1,arXiv,there have be several attempt to mathematically understand neural network and many more from biological and computational perspective the field have explode in the last decade yet neural network be still treat much like a black box in this work we describe a structure that be inherent to a feed forward neural network this will provide a framework for future work on neural network to improve training algorithm compute the homology of the network and other application our approach take a more geometric point of view and be unlike other attempt to mathematically understand neural network that rely on a functional perspective
Neural Networks Architecture Evaluation in a Quantum Computer,"In this work, we propose a quantum algorithm to evaluate neural networks architectures named Quantum Neural Network Architecture Evaluation (QNNAE). The proposed algorithm is based on a quantum associative memory and the learning algorithm for artificial neural networks. Unlike conventional algorithms for evaluating neural network architectures, QNNAE does not depend on initialization of weights. The proposed algorithm has a binary output and results in 0 with probability proportional to the performance of the network. And its computational cost is equal to the computational cost to train a neural network.","Adenilton José da Silva, Rodolfo Luan F. de Oliveira",http://arxiv.org/abs/1711.04759v1,arXiv,in this work we propose a quantum algorithm to evaluate neural network architecture name quantum neural network architecture evaluation qnnae the propose algorithm be base on a quantum associative memory and the learn algorithm for artificial neural network unlike conventional algorithm for evaluate neural network architecture qnnae do not depend on initialization of weight the propose algorithm have a binary output and result in 0 with probability proportional to the performance of the network and it computational cost be equal to the computational cost to train a neural network
Building Compact and Robust Deep Neural Networks with Toeplitz Matrices,"Deep neural networks are state-of-the-art in a wide variety of tasks, however, they exhibit important limitations which hinder their use and deployment in real-world applications. When developing and training neural networks, the accuracy should not be the only concern, neural networks must also be cost-effective and reliable. Although accurate, large neural networks often lack these properties. This thesis focuses on the problem of training neural networks which are not only accurate but also compact, easy to train, reliable and robust to adversarial examples. To tackle these problems, we leverage the properties of structured matrices from the Toeplitz family to build compact and secure neural networks.",Alexandre Araujo,http://arxiv.org/abs/2109.00959v1,arXiv,deep neural network be state-of-the-art in a wide variety of task however they exhibit important limitation which hinder their use and deployment in real-world application when develop and training neural network the accuracy should not be the only concern neural network must also be cost-effective and reliable although accurate large neural network often lack these property this thesis focus on the problem of training neural network which be not only accurate but also compact easy to train reliable and robust to adversarial example to tackle these problem we leverage the property of structure matrix from the toeplitz family to build compact and secure neural network
Application of Neural Network in Optimization of Chemical Process,"Artificial neural network (ANN) has been widely used due to its strong nonlinear mapping ability, fault tolerance and self-learning ability. This article summarizes the development history of artificial neural networks, introduces three common neural network types, BP neural network, RBF neural network and convolutional neural network, and focuses on the practical application in chemical process optimization, especially the results achieved in multi-objective control optimization and process parameter improvement.","Fei Liang, Taowen Zhang",http://arxiv.org/abs/2110.04942v1,arXiv,artificial neural network ann have be widely use due to it strong nonlinear mapping ability fault tolerance and self-learning ability this article summarizes the development history of artificial neural network introduces three common neural network type bp neural network rbf neural network and convolutional neural network and focus on the practical application in chemical process optimization especially the result achieve in multi-objective control optimization and process parameter improvement
Nonlinear Systems Identification Using Deep Dynamic Neural Networks,"Neural networks are known to be effective function approximators. Recently, deep neural networks have proven to be very effective in pattern recognition, classification tasks and human-level control to model highly nonlinear realworld systems. This paper investigates the effectiveness of deep neural networks in the modeling of dynamical systems with complex behavior. Three deep neural network structures are trained on sequential data, and we investigate the effectiveness of these networks in modeling associated characteristics of the underlying dynamical systems. We carry out similar evaluations on select publicly available system identification datasets. We demonstrate that deep neural networks are effective model estimators from input-output data","Olalekan Ogunmolu, Xuejun Gu, Steve Jiang, Nicholas Gans",http://arxiv.org/abs/1610.01439v1,arXiv,neural network be know to be effective function approximators recently deep neural network have proven to be very effective in pattern recognition classification task and human-level control to model highly nonlinear realworld system this paper investigates the effectiveness of deep neural network in the model of dynamical system with complex behavior three deep neural network structure be train on sequential data and we investigate the effectiveness of these network in model associate characteristic of the underlie dynamical system we carry out similar evaluation on select publicly available system identification datasets we demonstrate that deep neural network be effective model estimator from input-output data
"Universal Approximation Theorem for Vector- and Hypercomplex-Valued
  Neural Networks","The universal approximation theorem states that a neural network with one hidden layer can approximate continuous functions on compact sets with any desired precision. This theorem supports using neural networks for various applications, including regression and classification tasks. Furthermore, it is valid for real-valued neural networks and some hypercomplex-valued neural networks such as complex-, quaternion-, tessarine-, and Clifford-valued neural networks. However, hypercomplex-valued neural networks are a type of vector-valued neural network defined on an algebra with additional algebraic or geometric properties. This paper extends the universal approximation theorem for a wide range of vector-valued neural networks, including hypercomplex-valued models as particular instances. Precisely, we introduce the concept of non-degenerate algebra and state the universal approximation theorem for neural networks defined on such algebras.","Marcos Eduardo Valle, Wington L. Vital, Guilherme Vieira",http://arxiv.org/abs/2401.02277v2,arXiv,the universal approximation theorem state that a neural network with one hidden layer can approximate continuous function on compact set with any desire precision this theorem support use neural network for various application include regression and classification task furthermore it be valid for real-valued neural network and some hypercomplex-valued neural network such a complex- quaternion- tessarine- and clifford-valued neural network however hypercomplex-valued neural network be a type of vector-valued neural network define on an algebra with additional algebraic or geometric property this paper extends the universal approximation theorem for a wide range of vector-valued neural network include hypercomplex-valued model a particular instance precisely we introduce the concept of non-degenerate algebra and state the universal approximation theorem for neural network define on such algebra
