title,abstract,authors,link,source,cleaned_abstract,kmeans_cluster,bertopic_topic,x,y
Uncovering bias in the PlantVillage dataset,"We report our investigation on the use of the popular PlantVillage dataset for training deep learning based plant disease detection models. We trained a machine learning model using only 8 pixels from the PlantVillage image backgrounds. The model achieved 49.0% accuracy on the held-out test set, well above the random guessing accuracy of 2.6%. This result indicates that the PlantVillage dataset contains noise correlated with the labels and deep learning models can easily exploit this bias to make predictions. Possible approaches to alleviate this problem are discussed.",Mehmet Alican Noyan,http://arxiv.org/abs/2206.04374v1,arXiv,we report our investigation on the use of the popular plantvillage dataset for training deep learning based plant disease detection models we trained a machine learning model using only 8 pixels from the plantvillage image backgrounds the model achieved 49 0 accuracy on the held-out test set well above the random guessing accuracy of 2 6 this result indicates that the plantvillage dataset contains noise correlated with the labels and deep learning models can easily exploit this bias to make predictions possible approaches to alleviate this problem are discussed,4,0,9.873489,-5.61831
"Classification and Prediction of Heart Diseases using Machine Learning
  Algorithms","Heart disease is a serious worldwide health issue because it claims the lives of many people who might have been treated if the disease had been identified earlier. The leading cause of death in the world is cardiovascular disease, usually referred to as heart disease. Creating reliable, effective, and precise predictions for these diseases is one of the biggest issues facing the medical world today. Although there are tools for predicting heart diseases, they are either expensive or challenging to apply for determining a patient's risk. The best classifier for foretelling and spotting heart disease was the aim of this research. This experiment examined a range of machine learning approaches, including Logistic Regression, K-Nearest Neighbor, Support Vector Machine, and Artificial Neural Networks, to determine which machine learning algorithm was most effective at predicting heart diseases. One of the most often utilized data sets for this purpose, the UCI heart disease repository provided the data set for this study. The K-Nearest Neighbor technique was shown to be the most effective machine learning algorithm for determining whether a patient has heart disease. It will be beneficial to conduct further studies on the application of additional machine learning algorithms for heart disease prediction.","Akua Sekyiwaa Osei-Nkwantabisa, Redeemer Ntumy",http://arxiv.org/abs/2409.03697v1,arXiv,heart disease is a serious worldwide health issue because it claims the lives of many people who might have been treated if the disease had been identified earlier the leading cause of death in the world is cardiovascular disease usually referred to as heart disease creating reliable effective and precise predictions for these diseases is one of the biggest issues facing the medical world today although there are tools for predicting heart diseases they are either expensive or challenging to apply for determining a patient s risk the best classifier for foretelling and spotting heart disease was the aim of this research this experiment examined a range of machine learning approaches including logistic regression k-nearest neighbor support vector machine and artificial neural networks to determine which machine learning algorithm was most effective at predicting heart diseases one of the most often utilized data sets for this purpose the uci heart disease repository provided the data set for this study the k-nearest neighbor technique was shown to be the most effective machine learning algorithm for determining whether a patient has heart disease it will be beneficial to conduct further studies on the application of additional machine learning algorithms for heart disease prediction,2,1,11.612857,0.630339
Leaf-Based Plant Disease Detection and Explainable AI,"The agricultural sector plays an essential role in the economic growth of a country. Specifically, in an Indian context, it is the critical source of livelihood for millions of people living in rural areas. Plant Disease is one of the significant factors affecting the agricultural sector. Plants get infected with diseases for various reasons, including synthetic fertilizers, archaic practices, environmental conditions, etc., which impact the farm yield and subsequently hinder the economy. To address this issue, researchers have explored many applications based on AI and Machine Learning techniques to detect plant diseases. This research survey provides a comprehensive understanding of common plant leaf diseases, evaluates traditional and deep learning techniques for disease detection, and summarizes available datasets. It also explores Explainable AI (XAI) to enhance the interpretability of deep learning models' decisions for end-users. By consolidating this knowledge, the survey offers valuable insights to researchers, practitioners, and stakeholders in the agricultural sector, fostering the development of efficient and transparent solutions for combating plant diseases and promoting sustainable agricultural practices.","Saurav Sagar, Mohammed Javed, David S Doermann",http://arxiv.org/abs/2404.16833v1,arXiv,the agricultural sector plays an essential role in the economic growth of a country specifically in an indian context it is the critical source of livelihood for millions of people living in rural areas plant disease is one of the significant factors affecting the agricultural sector plants get infected with diseases for various reasons including synthetic fertilizers archaic practices environmental conditions etc which impact the farm yield and subsequently hinder the economy to address this issue researchers have explored many applications based on ai and machine learning techniques to detect plant diseases this research survey provides a comprehensive understanding of common plant leaf diseases evaluates traditional and deep learning techniques for disease detection and summarizes available datasets it also explores explainable ai xai to enhance the interpretability of deep learning models decisions for end-users by consolidating this knowledge the survey offers valuable insights to researchers practitioners and stakeholders in the agricultural sector fostering the development of efficient and transparent solutions for combating plant diseases and promoting sustainable agricultural practices,4,0,10.432329,-2.6295712
DDD: Discriminative Difficulty Distance for plant disease diagnosis,"Recent studies on plant disease diagnosis using machine learning (ML) have highlighted concerns about the overestimated diagnostic performance due to inappropriate data partitioning, where training and test datasets are derived from the same source (domain). Plant disease diagnosis presents a challenging classification task, characterized by its fine-grained nature, vague symptoms, and the extensive variability of image features within each domain. In this study, we propose the concept of Discriminative Difficulty Distance (DDD), a novel metric designed to quantify the domain gap between training and test datasets while assessing the classification difficulty of test data. DDD provides a valuable tool for identifying insufficient diversity in training data, thus supporting the development of more diverse and robust datasets. We investigated multiple image encoders trained on different datasets and examined whether the distances between datasets, measured using low-dimensional representations generated by the encoders, are suitable as a DDD metric. The study utilized 244,063 plant disease images spanning four crops and 34 disease classes collected from 27 domains. As a result, we demonstrated that even if the test images are from different crops or diseases than those used to train the encoder, incorporating them allows the construction of a distance measure for a dataset that strongly correlates with the difficulty of diagnosis indicated by the disease classifier developed independently. Compared to the base encoder, pre-trained only on ImageNet21K, the correlation higher by 0.106 to 0.485, reaching a maximum of 0.909.","Yuji Arima, Satoshi Kagiwada, Hitoshi Iyatomi",http://arxiv.org/abs/2501.00734v1,arXiv,recent studies on plant disease diagnosis using machine learning ml have highlighted concerns about the overestimated diagnostic performance due to inappropriate data partitioning where training and test datasets are derived from the same source domain plant disease diagnosis presents a challenging classification task characterized by its fine-grained nature vague symptoms and the extensive variability of image features within each domain in this study we propose the concept of discriminative difficulty distance ddd a novel metric designed to quantify the domain gap between training and test datasets while assessing the classification difficulty of test data ddd provides a valuable tool for identifying insufficient diversity in training data thus supporting the development of more diverse and robust datasets we investigated multiple image encoders trained on different datasets and examined whether the distances between datasets measured using low-dimensional representations generated by the encoders are suitable as a ddd metric the study utilized 244 063 plant disease images spanning four crops and 34 disease classes collected from 27 domains as a result we demonstrated that even if the test images are from different crops or diseases than those used to train the encoder incorporating them allows the construction of a distance measure for a dataset that strongly correlates with the difficulty of diagnosis indicated by the disease classifier developed independently compared to the base encoder pre-trained only on imagenet21k the correlation higher by 0 106 to 0 485 reaching a maximum of 0 909,1,0,9.11715,-3.6253135
Leaf diseases detection using deep learning methods,"This study, our main topic is to devlop a new deep-learning approachs for plant leaf disease identification and detection using leaf image datasets. We also discussed the challenges facing current methods of leaf disease detection and how deep learning may be used to overcome these challenges and enhance the accuracy of disease detection. Therefore, we have proposed a novel method for the detection of various leaf diseases in crops, along with the identification and description of an efficient network architecture that encompasses hyperparameters and optimization methods. The effectiveness of different architectures was compared and evaluated to see the best architecture configuration and to create an effective model that can quickly detect leaf disease. In addition to the work done on pre-trained models, we proposed a new model based on CNN, which provides an efficient method for identifying and detecting plant leaf disease. Furthermore, we evaluated the efficacy of our model and compared the results to those of some pre-trained state-of-the-art architectures.",El Houcine El Fatimi,http://arxiv.org/abs/2501.00669v1,arXiv,this study our main topic is to devlop a new deep-learning approachs for plant leaf disease identification and detection using leaf image datasets we also discussed the challenges facing current methods of leaf disease detection and how deep learning may be used to overcome these challenges and enhance the accuracy of disease detection therefore we have proposed a novel method for the detection of various leaf diseases in crops along with the identification and description of an efficient network architecture that encompasses hyperparameters and optimization methods the effectiveness of different architectures was compared and evaluated to see the best architecture configuration and to create an effective model that can quickly detect leaf disease in addition to the work done on pre-trained models we proposed a new model based on cnn which provides an efficient method for identifying and detecting plant leaf disease furthermore we evaluated the efficacy of our model and compared the results to those of some pre-trained state-of-the-art architectures,4,0,9.830777,-5.738496
AMaizeD: An End to End Pipeline for Automatic Maize Disease Detection,"This research paper presents AMaizeD: An End to End Pipeline for Automatic Maize Disease Detection, an automated framework for early detection of diseases in maize crops using multispectral imagery obtained from drones. A custom hand-collected dataset focusing specifically on maize crops was meticulously gathered by expert researchers and agronomists. The dataset encompasses a diverse range of maize varieties, cultivation practices, and environmental conditions, capturing various stages of maize growth and disease progression. By leveraging multispectral imagery, the framework benefits from improved spectral resolution and increased sensitivity to subtle changes in plant health. The proposed framework employs a combination of convolutional neural networks (CNNs) as feature extractors and segmentation techniques to identify both the maize plants and their associated diseases. Experimental results demonstrate the effectiveness of the framework in detecting a range of maize diseases, including powdery mildew, anthracnose, and leaf blight. The framework achieves state-of-the-art performance on the custom hand-collected dataset and contributes to the field of automated disease detection in agriculture, offering a practical solution for early identification of diseases in maize crops advanced machine learning techniques and deep learning architectures.","Anish Mall, Sanchit Kabra, Ankur Lhila, Pawan Ajmera",http://arxiv.org/abs/2308.03766v1,arXiv,this research paper presents amaized an end to end pipeline for automatic maize disease detection an automated framework for early detection of diseases in maize crops using multispectral imagery obtained from drones a custom hand-collected dataset focusing specifically on maize crops was meticulously gathered by expert researchers and agronomists the dataset encompasses a diverse range of maize varieties cultivation practices and environmental conditions capturing various stages of maize growth and disease progression by leveraging multispectral imagery the framework benefits from improved spectral resolution and increased sensitivity to subtle changes in plant health the proposed framework employs a combination of convolutional neural networks cnns as feature extractors and segmentation techniques to identify both the maize plants and their associated diseases experimental results demonstrate the effectiveness of the framework in detecting a range of maize diseases including powdery mildew anthracnose and leaf blight the framework achieves state-of-the-art performance on the custom hand-collected dataset and contributes to the field of automated disease detection in agriculture offering a practical solution for early identification of diseases in maize crops advanced machine learning techniques and deep learning architectures,4,0,8.622518,-4.6730676
Applications of information theory in plant disease management,"Information theory is a branch of probability and statistics involving the analysis of communications. Information theory enables us to analyze and quantify the information content of predictions made in the context of plant disease management and related disciplines. In this article, some applications of information theory in plant disease management are outlined.",Gareth Hughes,http://arxiv.org/abs/0804.3666v1,arXiv,information theory is a branch of probability and statistics involving the analysis of communications information theory enables us to analyze and quantify the information content of predictions made in the context of plant disease management and related disciplines in this article some applications of information theory in plant disease management are outlined,5,1,11.773151,-0.2798595
"SugarViT -- Multi-objective Regression of UAV Images with Vision
  Transformers and Deep Label Distribution Learning Demonstrated on Disease
  Severity Prediction in Sugar Beet","Remote sensing and artificial intelligence are pivotal technologies of precision agriculture nowadays. The efficient retrieval of large-scale field imagery combined with machine learning techniques shows success in various tasks like phenotyping, weeding, cropping, and disease control. This work will introduce a machine learning framework for automatized large-scale plant-specific trait annotation for the use case disease severity scoring for Cercospora Leaf Spot (CLS) in sugar beet. With concepts of Deep Label Distribution Learning (DLDL), special loss functions, and a tailored model architecture, we develop an efficient Vision Transformer based model for disease severity scoring called SugarViT. One novelty in this work is the combination of remote sensing data with environmental parameters of the experimental sites for disease severity prediction. Although the model is evaluated on this special use case, it is held as generic as possible to also be applicable to various image-based classification and regression tasks. With our framework, it is even possible to learn models on multi-objective problems as we show by a pretraining on environmental metadata.","Maurice Günder, Facundo Ramón Ispizua Yamati, Abel Andree Barreto Alcántara, Anne-Katrin Mahlein, Rafet Sifa, Christian Bauckhage",http://arxiv.org/abs/2311.03076v3,arXiv,remote sensing and artificial intelligence are pivotal technologies of precision agriculture nowadays the efficient retrieval of large-scale field imagery combined with machine learning techniques shows success in various tasks like phenotyping weeding cropping and disease control this work will introduce a machine learning framework for automatized large-scale plant-specific trait annotation for the use case disease severity scoring for cercospora leaf spot cls in sugar beet with concepts of deep label distribution learning dldl special loss functions and a tailored model architecture we develop an efficient vision transformer based model for disease severity scoring called sugarvit one novelty in this work is the combination of remote sensing data with environmental parameters of the experimental sites for disease severity prediction although the model is evaluated on this special use case it is held as generic as possible to also be applicable to various image-based classification and regression tasks with our framework it is even possible to learn models on multi-objective problems as we show by a pretraining on environmental metadata,3,0,8.820138,-3.4989328
SSM-Net for Plants Disease Identification in Low Data Regime,"Plant disease detection is an essential factor in increasing agricultural production. Due to the difficulty of disease detection, farmers spray various pesticides on their crops to protect them, causing great harm to crop growth and food standards. Deep learning can offer critical aid in detecting such diseases. However, it is highly inconvenient to collect a large volume of data on all forms of the diseases afflicting a specific plant species. In this paper, we propose a new metrics-based few-shot learning SSM net architecture, which consists of stacked siamese and matching network components to address the problem of disease detection in low data regimes. We demonstrated our experiments on two datasets: mini-leaves diseases and sugarcane diseases dataset. We have showcased that the SSM-Net approach can achieve better decision boundaries with an accuracy of 92.7% on the mini-leaves dataset and 94.3% on the sugarcane dataset. The accuracy increased by ~10% and ~5% respectively, compared to the widely used VGG16 transfer learning approach. Furthermore, we attained F1 score of 0.90 using SSM Net on the sugarcane dataset and 0.91 on the mini-leaves dataset. Our code implementation is available on Github: https://github.com/shruti-jadon/PlantsDiseaseDetection.",Shruti Jadon,http://arxiv.org/abs/2005.13140v4,arXiv,plant disease detection is an essential factor in increasing agricultural production due to the difficulty of disease detection farmers spray various pesticides on their crops to protect them causing great harm to crop growth and food standards deep learning can offer critical aid in detecting such diseases however it is highly inconvenient to collect a large volume of data on all forms of the diseases afflicting a specific plant species in this paper we propose a new metrics-based few-shot learning ssm net architecture which consists of stacked siamese and matching network components to address the problem of disease detection in low data regimes we demonstrated our experiments on two datasets mini-leaves diseases and sugarcane diseases dataset we have showcased that the ssm-net approach can achieve better decision boundaries with an accuracy of 92 7 on the mini-leaves dataset and 94 3 on the sugarcane dataset the accuracy increased by 10 and 5 respectively compared to the widely used vgg16 transfer learning approach furthermore we attained f1 score of 0 90 using ssm net on the sugarcane dataset and 0 91 on the mini-leaves dataset our code implementation is available on github https github com shruti-jadon plantsdiseasedetection,4,0,10.001874,-3.8984284
"Detection of Plant Leaf Disease Directly in the JPEG Compressed Domain
  using Transfer Learning Technique","Plant leaf diseases pose a significant danger to food security and they cause depletion in quality and volume of production. Therefore accurate and timely detection of leaf disease is very important to check the loss of the crops and meet the growing food demand of the people. Conventional techniques depend on lab investigation and human skills which are generally costly and inaccessible. Recently, Deep Neural Networks have been exceptionally fruitful in image classification. In this research paper, plant leaf disease detection employing transfer learning is explored in the JPEG compressed domain. Here, the JPEG compressed stream consisting of DCT coefficients is, directly fed into the Neural Network to improve the efficiency of classification. The experimental results on JPEG compressed leaf dataset demonstrate the efficacy of the proposed model.","Atul Sharma, Bulla Rajesh, Mohammed Javed",http://arxiv.org/abs/2107.04813v1,arXiv,plant leaf diseases pose a significant danger to food security and they cause depletion in quality and volume of production therefore accurate and timely detection of leaf disease is very important to check the loss of the crops and meet the growing food demand of the people conventional techniques depend on lab investigation and human skills which are generally costly and inaccessible recently deep neural networks have been exceptionally fruitful in image classification in this research paper plant leaf disease detection employing transfer learning is explored in the jpeg compressed domain here the jpeg compressed stream consisting of dct coefficients is directly fed into the neural network to improve the efficiency of classification the experimental results on jpeg compressed leaf dataset demonstrate the efficacy of the proposed model,4,0,10.7295,-5.5204005
Towards automated mobile-phone-based plant pathology management,"This paper presents a framework which uses computer vision algorithms to standardise images and analyse them for identifying crop diseases automatically. The tools are created to bridge the information gap between farmers, advisory call centres and agricultural experts using the images of diseased/infected crop captured by mobile-phones. These images are generally sensitive to a number of factors including camera type and lighting. We therefore propose a technique for standardising the colour of plant images within the context of the advisory system. Subsequently, to aid the advisory process, the disease recognition process is automated using image processing in conjunction with machine learning techniques. We describe our proposed leaf extraction, affected area segmentation and disease classification techniques. The proposed disease recognition system is tested using six mango diseases and the results show over 80% accuracy. The final output of our system is a list of possible diseases with relevant management advice.","Nantheera Anantrasirichai, Sion Hannuna, Nishan Canagarajah",http://arxiv.org/abs/1912.09239v2,arXiv,this paper presents a framework which uses computer vision algorithms to standardise images and analyse them for identifying crop diseases automatically the tools are created to bridge the information gap between farmers advisory call centres and agricultural experts using the images of diseased infected crop captured by mobile-phones these images are generally sensitive to a number of factors including camera type and lighting we therefore propose a technique for standardising the colour of plant images within the context of the advisory system subsequently to aid the advisory process the disease recognition process is automated using image processing in conjunction with machine learning techniques we describe our proposed leaf extraction affected area segmentation and disease classification techniques the proposed disease recognition system is tested using six mango diseases and the results show over 80 accuracy the final output of our system is a list of possible diseases with relevant management advice,3,0,11.602353,-4.50942
"Unsupervised Image Translation using Adversarial Networks for Improved
  Plant Disease Recognition","Acquisition of data in task-specific applications of machine learning like plant disease recognition is a costly endeavor owing to the requirements of professional human diligence and time constraints. In this paper, we present a simple pipeline that uses GANs in an unsupervised image translation environment to improve learning with respect to the data distribution in a plant disease dataset, reducing the partiality introduced by acute class imbalance and hence shifting the classification decision boundary towards better performance. The empirical analysis of our method is demonstrated on a limited dataset of 2789 tomato plant disease images, highly corrupted with an imbalance in the 9 disease categories. First, we extend the state of the art for the GAN-based image-to-image translation method by enhancing the perceptual quality of the generated images and preserving the semantics. We introduce AR-GAN, where in addition to the adversarial loss, our synthetic image generator optimizes on Activation Reconstruction loss (ARL) function that optimizes feature activations against the natural image. We present visually more compelling synthetic images in comparison to most prominent existing models and evaluate the performance of our GAN framework in terms of various datasets and metrics. Second, we evaluate the performance of a baseline convolutional neural network classifier for improved recognition using the resulting synthetic samples to augment our training set and compare it with the classical data augmentation scheme. We observe a significant improvement in classification accuracy (+5.2%) using generated synthetic samples as compared to (+0.8%) increase using classic augmentation in an equal class distribution environment.","Haseeb Nazki, Sook Yoon, Alvaro Fuentes, Dong Sun Park",http://arxiv.org/abs/1909.11915v1,arXiv,acquisition of data in task-specific applications of machine learning like plant disease recognition is a costly endeavor owing to the requirements of professional human diligence and time constraints in this paper we present a simple pipeline that uses gans in an unsupervised image translation environment to improve learning with respect to the data distribution in a plant disease dataset reducing the partiality introduced by acute class imbalance and hence shifting the classification decision boundary towards better performance the empirical analysis of our method is demonstrated on a limited dataset of 2789 tomato plant disease images highly corrupted with an imbalance in the 9 disease categories first we extend the state of the art for the gan-based image-to-image translation method by enhancing the perceptual quality of the generated images and preserving the semantics we introduce ar-gan where in addition to the adversarial loss our synthetic image generator optimizes on activation reconstruction loss arl function that optimizes feature activations against the natural image we present visually more compelling synthetic images in comparison to most prominent existing models and evaluate the performance of our gan framework in terms of various datasets and metrics second we evaluate the performance of a baseline convolutional neural network classifier for improved recognition using the resulting synthetic samples to augment our training set and compare it with the classical data augmentation scheme we observe a significant improvement in classification accuracy 5 2 using generated synthetic samples as compared to 0 8 increase using classic augmentation in an equal class distribution environment,4,0,9.254733,-4.845349
"An open access repository of images on plant health to enable the
  development of mobile disease diagnostics","Human society needs to increase food production by an estimated 70% by 2050 to feed an expected population size that is predicted to be over 9 billion people. Currently, infectious diseases reduce the potential yield by an average of 40% with many farmers in the developing world experiencing yield losses as high as 100%. The widespread distribution of smartphones among crop growers around the world with an expected 5 billion smartphones by 2020 offers the potential of turning the smartphone into a valuable tool for diverse communities growing food. One potential application is the development of mobile disease diagnostics through machine learning and crowdsourcing. Here we announce the release of over 50,000 expertly curated images on healthy and infected leaves of crops plants through the existing online platform PlantVillage. We describe both the data and the platform. These data are the beginning of an on-going, crowdsourcing effort to enable computer vision approaches to help solve the problem of yield losses in crop plants due to infectious diseases.","David. P. Hughes, Marcel Salathe",http://arxiv.org/abs/1511.08060v2,arXiv,human society needs to increase food production by an estimated 70 by 2050 to feed an expected population size that is predicted to be over 9 billion people currently infectious diseases reduce the potential yield by an average of 40 with many farmers in the developing world experiencing yield losses as high as 100 the widespread distribution of smartphones among crop growers around the world with an expected 5 billion smartphones by 2020 offers the potential of turning the smartphone into a valuable tool for diverse communities growing food one potential application is the development of mobile disease diagnostics through machine learning and crowdsourcing here we announce the release of over 50 000 expertly curated images on healthy and infected leaves of crops plants through the existing online platform plantvillage we describe both the data and the platform these data are the beginning of an on-going crowdsourcing effort to enable computer vision approaches to help solve the problem of yield losses in crop plants due to infectious diseases,3,0,11.140365,-3.5138104
"Plant Bioelectric Early Warning Systems: A Five-Year Investigation into
  Human-Plant Electromagnetic Communication","We present a comprehensive investigation into plant bioelectric responses to human presence and emotional states, building on five years of systematic research. Using custom-built plant sensors and machine learning classification, we demonstrate that plants generate distinct bioelectric signals correlating with human proximity, emotional states, and physiological conditions. A deep learning model based on ResNet50 architecture achieved 97% accuracy in classifying human emotional states through plant voltage spectrograms, while control models with shuffled labels achieved only 30% accuracy. This study synthesizes findings from multiple experiments spanning 2020-2025, including individual recognition (66% accuracy), eurythmic gesture detection, stress prediction, and responses to human voice and movement. We propose that these phenomena represent evolved anti-herbivory early warning systems, where plants detect approaching animals through bioelectric field changes before physical contact. Our results challenge conventional understanding of plant sensory capabilities and suggest practical applications in agriculture, healthcare, and human-plant interaction research.",Peter A. Gloor,http://arxiv.org/abs/2506.04132v1,arXiv,we present a comprehensive investigation into plant bioelectric responses to human presence and emotional states building on five years of systematic research using custom-built plant sensors and machine learning classification we demonstrate that plants generate distinct bioelectric signals correlating with human proximity emotional states and physiological conditions a deep learning model based on resnet50 architecture achieved 97 accuracy in classifying human emotional states through plant voltage spectrograms while control models with shuffled labels achieved only 30 accuracy this study synthesizes findings from multiple experiments spanning 2020-2025 including individual recognition 66 accuracy eurythmic gesture detection stress prediction and responses to human voice and movement we propose that these phenomena represent evolved anti-herbivory early warning systems where plants detect approaching animals through bioelectric field changes before physical contact our results challenge conventional understanding of plant sensory capabilities and suggest practical applications in agriculture healthcare and human-plant interaction research,6,0,8.927072,-3.3886564
Machine Learning for Infectious Disease Risk Prediction: A Survey,"Infectious diseases, either emerging or long-lasting, place numerous people at risk and bring heavy public health burdens worldwide. In the process against infectious diseases, predicting the epidemic risk by modeling the disease transmission plays an essential role in assisting with preventing and controlling disease transmission in a more effective way. In this paper, we systematically describe how machine learning can play an essential role in quantitatively characterizing disease transmission patterns and accurately predicting infectious disease risks. First, we introduce the background and motivation of using machine learning for infectious disease risk prediction. Next, we describe the development and components of various machine learning models for infectious disease risk prediction. Specifically, existing models fall into three categories: Statistical prediction, data-driven machine learning, and epidemiology-inspired machine learning. Subsequently, we discuss challenges encountered when dealing with model inputs, designing task-oriented objectives, and conducting performance evaluation. Finally, we conclude with a discussion of open questions and future directions.","Mutong Liu, Yang Liu, Jiming Liu",http://arxiv.org/abs/2308.03037v1,arXiv,infectious diseases either emerging or long-lasting place numerous people at risk and bring heavy public health burdens worldwide in the process against infectious diseases predicting the epidemic risk by modeling the disease transmission plays an essential role in assisting with preventing and controlling disease transmission in a more effective way in this paper we systematically describe how machine learning can play an essential role in quantitatively characterizing disease transmission patterns and accurately predicting infectious disease risks first we introduce the background and motivation of using machine learning for infectious disease risk prediction next we describe the development and components of various machine learning models for infectious disease risk prediction specifically existing models fall into three categories statistical prediction data-driven machine learning and epidemiology-inspired machine learning subsequently we discuss challenges encountered when dealing with model inputs designing task-oriented objectives and conducting performance evaluation finally we conclude with a discussion of open questions and future directions,5,1,11.281055,-0.13851134
"Image-based Plant Disease Diagnosis with Unsupervised Anomaly Detection
  Based on Reconstructability of Colors","This paper proposes an unsupervised anomaly detection technique for image-based plant disease diagnosis. The construction of large and publicly available datasets containing labeled images of healthy and diseased crop plants led to growing interest in computer vision techniques for automatic plant disease diagnosis. Although supervised image classifiers based on deep learning can be a powerful tool for plant disease diagnosis, they require a huge amount of labeled data. The data mining technique of anomaly detection includes unsupervised approaches that do not require rare samples for training classifiers. We propose an unsupervised anomaly detection technique for image-based plant disease diagnosis that is based on the reconstructability of colors; a deep encoder-decoder network trained to reconstruct the colors of \textit{healthy} plant images should fail to reconstruct colors of symptomatic regions. Our proposed method includes a new image-based framework for plant disease detection that utilizes a conditional adversarial network called pix2pix and a new anomaly score based on CIEDE2000 color difference. Experiments with PlantVillage dataset demonstrated the superiority of our proposed method compared to an existing anomaly detector at identifying diseased crop images in terms of accuracy, interpretability and computational efficiency.","Ryoya Katafuchi, Terumasa Tokunaga",http://arxiv.org/abs/2011.14306v5,arXiv,this paper proposes an unsupervised anomaly detection technique for image-based plant disease diagnosis the construction of large and publicly available datasets containing labeled images of healthy and diseased crop plants led to growing interest in computer vision techniques for automatic plant disease diagnosis although supervised image classifiers based on deep learning can be a powerful tool for plant disease diagnosis they require a huge amount of labeled data the data mining technique of anomaly detection includes unsupervised approaches that do not require rare samples for training classifiers we propose an unsupervised anomaly detection technique for image-based plant disease diagnosis that is based on the reconstructability of colors a deep encoder-decoder network trained to reconstruct the colors of plant images should fail to reconstruct colors of symptomatic regions our proposed method includes a new image-based framework for plant disease detection that utilizes a conditional adversarial network called pix2pix and a new anomaly score based on ciede2000 color difference experiments with plantvillage dataset demonstrated the superiority of our proposed method compared to an existing anomaly detector at identifying diseased crop images in terms of accuracy interpretability and computational efficiency,1,0,8.429655,-4.3504066
"A two-step machine learning approach for crop disease detection: an
  application of GAN and UAV technology","Automated plant diagnosis is a technology that promises large increases in cost-efficiency for agriculture. However, multiple problems reduce the effectiveness of drones, including the inverse relationship between resolution and speed and the lack of adequate labeled training data. This paper presents a two-step machine learning approach that analyzes low-fidelity and high-fidelity images in sequence, preserving efficiency as well as accuracy. Two data-generators are also used to minimize class imbalance in the high-fidelity dataset and to produce low-fidelity data that is representative of UAV images. The analysis of applications and methods is conducted on a database of high-fidelity apple tree images which are corrupted with class imbalance. The application begins by generating high-fidelity data using generative networks and then uses this novel data alongside the original high-fidelity data to produce low-fidelity images. A machine-learning identifier identifies plants and labels them as potentially diseased or not. A machine learning classifier is then given the potentially diseased plant images and returns actual diagnoses for these plants. The results show an accuracy of 96.3% for the high-fidelity system and a 75.5% confidence level for our low-fidelity system. Our drone technology shows promising results in accuracy when compared to labor-based methods of diagnosis.","Aaditya Prasad, Nikhil Mehta, Matthew Horak, Wan D. Bae",http://arxiv.org/abs/2109.11066v1,arXiv,automated plant diagnosis is a technology that promises large increases in cost-efficiency for agriculture however multiple problems reduce the effectiveness of drones including the inverse relationship between resolution and speed and the lack of adequate labeled training data this paper presents a two-step machine learning approach that analyzes low-fidelity and high-fidelity images in sequence preserving efficiency as well as accuracy two data-generators are also used to minimize class imbalance in the high-fidelity dataset and to produce low-fidelity data that is representative of uav images the analysis of applications and methods is conducted on a database of high-fidelity apple tree images which are corrupted with class imbalance the application begins by generating high-fidelity data using generative networks and then uses this novel data alongside the original high-fidelity data to produce low-fidelity images a machine-learning identifier identifies plants and labels them as potentially diseased or not a machine learning classifier is then given the potentially diseased plant images and returns actual diagnoses for these plants the results show an accuracy of 96 3 for the high-fidelity system and a 75 5 confidence level for our low-fidelity system our drone technology shows promising results in accuracy when compared to labor-based methods of diagnosis,1,0,8.17697,-4.011848
